,MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA,Time_Used
1358,2023-01-26 03:16:51.262,4,chrome.exe,0,4.036
1359,2023-01-26 03:16:55.298,4,explorer.exe,0,2.018
1360,2023-01-26 03:16:57.316,4,Zoom.exe,0,13.112
1361,2023-01-26 03:17:10.428,4,chrome.exe,0,253.102
1362,2023-01-26 03:21:23.530,4,Zoom.exe,0,14.124
1363,2023-01-26 03:21:37.654,4,chrome.exe,0,115.855
1364,2023-01-26 03:23:33.509,4,Teams.exe,0,20.186
1365,2023-01-26 03:23:53.695,4,chrome.exe,0,89.791
1366,2023-01-26 03:25:23.486,4,Zoom.exe,0,6.038
1367,2023-01-26 03:25:29.524,4,explorer.exe,0,1.006
1368,2023-01-26 03:25:30.530,4,DB Browser for SQLite.exe,0,28.205
1369,2023-01-26 03:25:58.735,4,explorer.exe,0,2.019
1370,2023-01-26 03:26:00.754,4,DB Browser for SQLite.exe,0,123.87
1371,2023-01-26 03:28:04.624,4,explorer.exe,0,2.019
1372,2023-01-26 03:28:06.643,4,DB Browser for SQLite.exe,0,1.006
1373,2023-01-26 03:28:07.649,4,explorer.exe,0,11.069
1374,2023-01-26 03:28:18.718,4,Zoom.exe,0,2.019
1375,2023-01-26 03:28:20.737,4,explorer.exe,0,6.057
1376,2023-01-26 03:28:26.794,4,Zoom.exe,0,4.039
1377,2023-01-26 03:28:30.833,4,Messenger.exe,0,3.032
1378,2023-01-26 03:28:33.865,4,Zoom.exe,0,4.03
1379,2023-01-26 03:28:37.895,4,explorer.exe,0,4.036
1380,2023-01-26 03:28:41.931,4,Zoom.exe,0,5.046
1381,2023-01-26 03:28:46.977,4,chrome.exe,0,2.009
1382,2023-01-26 03:28:48.986,4,Zoom.exe,0,43.359
1383,2023-01-26 03:29:32.345,4,chrome.exe,0,66.501
1384,2023-01-26 03:30:38.846,4,Zoom.exe,0,4.053
1385,2023-01-26 03:30:42.899,4,chrome.exe,0,635.137
1386,2023-01-26 03:41:18.036,4,explorer.exe,0,1.013
1387,2023-01-26 03:41:19.049,4,Zoom.exe,0,1.013
1388,2023-01-26 03:41:20.062,4,chrome.exe,0,36.29
1389,2023-01-26 03:41:56.352,4,Zoom.exe,0,1.013
1390,2023-01-26 03:41:57.365,4,chrome.exe,0,22.183
1391,2023-01-26 03:42:19.548,4,Zoom.exe,0,3.014
1392,2023-01-26 03:42:22.562,4,chrome.exe,0,11.128
1393,2023-01-26 03:42:33.690,4,Zoom.exe,0,32.255
1394,2023-01-26 03:43:05.945,4,chrome.exe,0,136.077
1395,2023-01-26 03:45:22.022,4,VsDebugConsole.exe,0,2.013
1396,2023-01-26 03:45:24.035,4,chrome.exe,0,87.704
1397,2023-01-26 03:46:51.739,4,Zoom.exe,0,4.027
1398,2023-01-26 03:46:55.766,4,chrome.exe,0,4.032
1399,2023-01-26 03:46:59.798,4,Messenger.exe,0,162.958
1400,2023-01-26 03:49:42.756,4,chrome.exe,0,3493.871
1401,2023-01-26 04:47:56.627,4,Messenger.exe,0,6.059
1402,2023-01-26 04:48:02.686,4,chrome.exe,0,1475.981
1403,2023-01-26 05:12:38.667,4,Zoom.exe,0,1.004
1404,2023-01-26 05:12:39.671,4,explorer.exe,0,49.282
1405,2023-01-26 05:13:28.953,4,chrome.exe,0,9.06
1406,2023-01-26 05:13:38.013,4,explorer.exe,0,14.088
1407,2023-01-26 05:13:52.101,4,chrome.exe,0,12.068
1408,2023-01-26 05:14:04.169,4,cmd.exe,0,23.134
1409,2023-01-26 05:14:27.303,4,chrome.exe,0,46.311
1410,2023-01-26 05:15:13.614,4,cmd.exe,0,2.016
1411,2023-01-26 05:15:15.630,4,explorer.exe,0,21.125
1412,2023-01-26 05:15:36.755,4,EXCEL.EXE,0,7.035
1413,2023-01-26 05:15:43.790,4,explorer.exe,0,5.03
1414,2023-01-26 05:15:48.820,4,chrome.exe,0,3452.686
1415,2023-01-26 06:13:21.506,4,Messenger.exe,0,252.407
1416,2023-01-26 06:17:33.913,4,chrome.exe,0,725.176
1417,2023-01-26 06:29:39.089,4,cmd.exe,0,8.053
1418,2023-01-26 06:29:47.142,4,chrome.exe,0,6.036
1419,2023-01-26 06:29:53.178,4,Messenger.exe,0,30.207
1420,2023-01-26 06:30:23.385,4,chrome.exe,0,10.063
1421,2023-01-26 06:30:33.448,4,ApplicationFrameHost.exe,0,251.04
1422,2023-01-26 06:34:44.488,4,chrome.exe,0,146.999
1423,2023-01-26 06:37:11.487,4,ApplicationFrameHost.exe,0,23.166
1424,2023-01-26 06:37:34.653,4,chrome.exe,0,138.109
1425,2023-01-26 06:39:52.762,4,ApplicationFrameHost.exe,0,1057.492
1426,2023-01-26 06:57:30.254,4,chrome.exe,0,36.362
1427,2023-01-26 06:58:06.616,4,explorer.exe,0,8.049
1428,2023-01-26 06:58:14.665,4,VsDebugConsole.exe,0,0.0
1429,2023-01-26 23:42:06.936,4,s0,0,0.0
1430,2023-01-26 23:42:06.936,4,VsDebugConsole.exe,0,3.037
1431,2023-01-26 23:42:09.973,4,devenv.exe,0,1.011
1432,2023-01-26 23:42:10.984,4,explorer.exe,0,112.793
1433,2023-01-26 23:44:03.777,4,cmd.exe,0,9.056
1434,2023-01-26 23:44:12.833,4,chrome.exe,0,3238.186
1435,2023-01-27 00:38:11.019,4,cmd.exe,0,74.462
1436,2023-01-27 00:39:25.481,4,chrome.exe,0,123.84
1437,2023-01-27 00:41:29.321,4,explorer.exe,0,5.039
1438,2023-01-27 00:41:34.360,4,Notepad.exe,0,19.111
1439,2023-01-27 00:41:53.471,4,explorer.exe,0,2.01
1440,2023-01-27 00:41:55.481,4,chrome.exe,0,19.133
1441,2023-01-27 00:42:14.614,4,explorer.exe,0,3.121
1442,2023-01-27 00:42:17.735,4,EXCEL.EXE,0,17.203
1443,2023-01-27 00:42:34.938,4,explorer.exe,0,2.011
1444,2023-01-27 00:42:36.949,4,chrome.exe,0,54.336
1445,2023-01-27 00:43:31.285,4,explorer.exe,0,1.004
1446,2023-01-27 00:43:32.289,4,EXCEL.EXE,0,5.148
1447,2023-01-27 00:43:37.437,4,explorer.exe,0,11.077
1448,2023-01-27 00:43:48.514,4,chrome.exe,0,87.609
1449,2023-01-27 00:45:16.123,4,explorer.exe,0,2.008
1450,2023-01-27 00:45:18.131,4,Notepad.exe,0,7.053
1451,2023-01-27 00:45:25.184,4,explorer.exe,0,3.027
1452,2023-01-27 00:45:28.211,4,chrome.exe,0,24.138
1453,2023-01-27 00:45:52.349,4,cmd.exe,0,28.215
1454,2023-01-27 00:46:20.564,4,chrome.exe,0,142.916
1455,2023-01-27 00:48:43.480,4,Messenger.exe,0,62.354
1456,2023-01-27 00:49:45.834,4,chrome.exe,0,26.175
1457,2023-01-27 00:50:12.009,4,Messenger.exe,0,53.303
1458,2023-01-27 00:51:05.312,4,chrome.exe,0,9.079
1459,2023-01-27 00:51:14.391,4,Messenger.exe,0,5.039
1460,2023-01-27 00:51:19.430,4,chrome.exe,0,37.213
1461,2023-01-27 00:51:56.643,4,Messenger.exe,0,42.349
1462,2023-01-27 00:52:38.992,4,chrome.exe,0,44.244
1463,2023-01-27 00:53:23.236,4,Messenger.exe,0,89.527
1464,2023-01-27 00:54:52.763,4,chrome.exe,0,509.117
